,1999Dec,2000Mar,2000Jun,2000Sep,2000Dec,2001Mar,2001Jun,2001Sep,2001Dec,2002Mar,2002Jun,2002Sep,2002Dec,2003Mar,2003Jun,2003Sep,2003Dec,2004Mar,2004Jun,2004Sep,2004Dec,2005Mar,2005Jun,2005Sep,2005Dec,2006Mar,2006Jun,2006Sep,2006Dec,2007Mar,2007Jun,2007Sep,2007Dec,2008Mar,2008Jun,2008Sep,2008Dec,2009Mar,2009Jun,2009Sep,2009Dec,2010Mar,2010Jun,2010Sep,2010Dec,2011Mar,2011Jun,2011Sep,2011Dec,2012Mar,2012Jun,2012Sep,2012Dec,2013Mar,2013Jun,2013Sep,2013Dec,2014Mar,2014Jun,2014Sep,2014Dec,2015Mar,2015Jun,2015Sep,2015Dec,2016Mar,2016Jun,2016Sep,2016Dec,2017Mar,2017Jun,2017Sep,2017Dec,2018Mar,2018Jun,2018Sep,2018Dec,2019Mar,2019Jun,2019Sep,2019Dec,2020Mar,2020Jun,2020Sep,2020Dec,2021Mar,2021Jun,2021Sep,2021Dec,2022Mar,2022Jun,2022Sep,2022Dec,2023Mar,2023Jun,2023Sep,2023Dec,2024Mar,2024Jun,2024Sep,2024Dec,2025Mar,2025Jun
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.3,1.5,1.4,1.7,1.3,1.8,,1,,1.7,1.5,1.5,1.4,,,1.9,2,2,2,1.9,1.8,1.8,1.7,1.1,1.3,1.2,,1.4,1.5,.9,1.3,1.5,2.6,2.8,2.7,3.1,2.6,2.9,2,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.5,1.2,1,1.4,1.4,1.5,-.1,,1.5,1.4,1.9,,1.7,1.6,1.6,1.4,1.4,1.5,1.3,1.4,1.2,1,1.1,1.1,1.2,1.5,1,.7,1.4,2.3130274034,2.3,2.8,2.2,3.73,2.63,2.382,2,2.6,1.84792223,2.2
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.1,1.2,,,,,1.3,1.2,1.3,,1.6,1.7,1.5,1.7,1.4,1.6,1.1,1.3,1.4,,,,1,,1.6,,1.6,2.1,,3.7,3.5,2.3,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,.1,1.2,1.2,1.3,1.3,.9156626607,1.4,1.4,3,,4,4,3.2,2.7,2,1.9,2,1.9
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.4,,1.25,,1.6,,,,,1.3,,.6,,1.2,,1.2,1.5,1.5,,3.5,4.3,,2.87,2.22,1.83177169,1.4,1.41,1.13
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,1.2,1.2,,,,,,,,,,,,,,,1.9,1.9,1.9
120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1623010149,1.42,1.2,1.3,-.28,1.49,.8661694393,1.84,2.1345,1.82,4.21155868259386,2.696609666,4.56231795,2.72980342,2.48672379,1.85972883,2.29774761,1.89351494,2.00606167,2.21081301
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.5,1.5,1.5,1.5,1.6,.3,.5,1.3,1.3,1.3,1.8,2,4,4.5,6.5,3,2.5,2.5,2.5,2.2,2.1,2.6
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.7,1.5,1.4,1.4,1.1,1,1.2,1.4,1.5,1.8,1.8,2.4,3,3.2,8,5,3.5,3.5,2.7,2.3,2.2,2.2
