TARGET_PERIOD,FCT_SOURCE,10,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility
2000Q1,94,2.4,,,,,20,50,30,,,,2.6315789473684212
2000Q1,95,2.4,,4.0404040404,4.0404040404,13.6363636364,13.6363636364,18.6868686869,18.6868686869,11.1111111111,11.1111111111,5.0505050505,7.270771513333482
""
TARGET_PERIOD,FCT_SOURCE,10,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility
2000Q2,1,2.8,,,,,5,20,50,25,,,2.816901408450704
2000Q2,2,2.8,,,5,10,15,20,30,15,5,,5.2631578947368425
2000Q2,3,2.4,,,,,20,40,30,10,,,3.3333333333333335
2000Q2,4,3.2,,,,,,,35,55,10,,2.2988505747126435
2000Q2,5,2.8,,,,,,15,55,30,,,2.4096385542168677
2000Q2,7,3,,,,,,,,,,,1
2000Q2,9,2.6,,,,,,40,60,,,,1.9230769230769231
2000Q2,11,2.7,,,,,,10,75,15,,,1.680672268907563
2000Q2,14,2.8,,,,,,10,60,30,,,2.1739130434782608
2000Q2,16,3.4,,,,,10,20,25,35,10,,4.081632653061225
2000Q2,19,2.6,,,,,,50,50,,,,2.0
2000Q2,23,3.1,,,,,,20,30,40,10,,3.3333333333333335
2000Q2,24,3.3,,,,,,10,30,40,20,,3.3333333333333335
2000Q2,26,3.2,,,,,,5,30,40,20,5,3.389830508474576
2000Q2,28,2.8,,,,,10,25,50,15,,,2.898550724637681
2000Q2,30,3.1,,,,,,,50,50,,,2.0
2000Q2,31,2.9,,,,,,,,,,,1
2000Q2,32,2.7,,,,,5,20,60,15,,,2.3529411764705883
2000Q2,33,2.7,,,,,,10,80,10,,,1.5151515151515151
2000Q2,35,2.9,,,,,,10,60,20,10,,2.380952380952381
2000Q2,36,2.4,,,,,10,60,30,,,,2.1739130434782608
2000Q2,37,2.8,,,,,,,70,30,,,1.7241379310344827
2000Q2,38,2.4,,,,,,90,10,,,,1.2195121951219512
2000Q2,39,2.9,,,,,,5,60,35,,,2.0618556701030926
2000Q2,40,2.4,,,,,10,45,35,10,,,2.898550724637681
2000Q2,41,2.9,,,,,,10,60,30,,,2.1739130434782608
2000Q2,42,3.2,,,,,,,45,55,,,1.9801980198019802
2000Q2,46,2.27,,,,5,5,45,45,,,,2.4390243902439024
2000Q2,47,2.9,,,,,,10,60,30,,,2.1739130434782608
2000Q2,49,2.8,,,,,,10,60,20,10,,2.380952380952381
2000Q2,52,2.9,,,,,10,30,40,20,,,3.3333333333333335
2000Q2,53,2.8,,,,,,10,80,10,,,1.5151515151515151
2000Q2,54,2.7,,,,,20,30,30,20,,,3.8461538461538463
2000Q2,55,3.6,,,.0999001,.6993007,2.7972028,8.59140859,18.58141858,28.27172827,28.77122877,12.18781219,4.539219817071281
2000Q2,59,2.8,,,,,10,20,40,20,10,,3.8461538461538463
2000Q2,61,2.8,,,,,,40,60,,,,1.9230769230769231
2000Q2,64,3,,1,1,3,5,20,30,25,10,5,4.793863854266539
2000Q2,65,2.8,,,,,,30,50,20,,,2.6315789473684212
2000Q2,67,2.2,,,,,30,70,,,,,1.7241379310344827
2000Q2,70,3.2,,,,,,10,50,40,,,2.380952380952381
2000Q2,72,2.6,,1,2,5,10,25,35,15,5,2,4.476275738585497
2000Q2,73,3,,,,,,,45,50,5,,2.197802197802198
2000Q2,76,3.4,,,,,5,15,20,30,25,5,4.545454545454546
2000Q2,85,2.5,3.58677191,4.47597163,10.32071136,12.43880508,23.10920172,15.24627835,14.97652113,7.7829953,5.19532421,2.86741932,7.2426552129751585
2000Q2,87,3.2,,,,,,5,35,45,15,,2.857142857142857
2000Q2,88,2.8,,,,,5,15,45,30,5,,3.125
2000Q2,89,2.5,,,,5,10,30,40,10,5,,3.6363636363636362
2000Q2,90,2.6,,,,,,25,75,,,,1.6
2000Q2,91,2.6,,,.1,1.3,10.1,30.6,36.7,17.6,3.3,.3,3.6931713262178225
2000Q2,92,2.73,,,,,,,,,,,1
2000Q2,94,2.9,,,,,,,50,50,,,2.0
2000Q2,95,2.8,,.98039216,3.92156863,6.8627451,11.76470588,15.68627451,19.60784314,16.66666667,12.74509804,11.76470588,7.08719345955001
""
TARGET_PERIOD,FCT_SOURCE,10,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility
2000Q3,1,3,,,,,5,10,60,20,5,,2.4096385542168677
2000Q3,2,3,,,,3,8,20,35,22,12,,4.299226139294927
2000Q3,3,2.9,,,,,,,70,30,,,1.7241379310344827
2000Q3,4,3.4,,,,,,,20,50,30,,2.6315789473684212
2000Q3,5,2.9,,,,,,5,60,30,5,,2.197802197802198
2000Q3,7,3.1,,,,,,,,,,,1
2000Q3,9,3.4,,,,,,,10,70,20,,1.8518518518518519
2000Q3,11,3,,,,,,,20,80,,,1.4705882352941178
2000Q3,13,3.3,,,,,,5,25,50,20,,2.816901408450704
2000Q3,14,3,,,,,,,30,70,,,1.7241379310344827
2000Q3,15,2.8,,,,,,,,,,,1
2000Q3,16,2.9,,1,1,1,2,5,40,30,15,5,3.5945363048166787
2000Q3,23,3.2,,,,,,,30,50,20,,2.6315789473684212
2000Q3,24,3.4,,,,,,,20,50,30,,2.6315789473684212
2000Q3,26,3.1,,,,,,20,30,30,20,,3.8461538461538463
2000Q3,28,3.1,,,,,,5,30,40,20,5,3.389830508474576
2000Q3,29,3.1,,,,,,,30,70,,,1.7241379310344827
2000Q3,30,3.1,,,,,,,40,60,,,1.9230769230769231
