TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility
2000Sep,11,1.1,,,15,85,,,,,,1.342281879194631
2000Sep,14,1.5,,,,50,50,,,,,2.0
2000Sep,16,1.4,1,5,16,45,25,5,1,1,1,3.3783783783783776
2000Sep,19,1.7,,,,25,75,,,,,1.6
2000Sep,23,1.7,,,,20,70,10,,,,1.8518518518518519
2000Sep,24,1.6,,,10,30,35,10,10,5,,4.081632653061225
2000Sep,26,1.5,,,10,40,40,10,,,,2.9411764705882355
2000Sep,28,1.3,,,5,55,30,10,,,,2.4691358024691357
2000Sep,30,1.8,,,,10,90,,,,,1.2195121951219512
2000Sep,31,1.6,,,,,,,,,,1
2000Sep,32,1.7,,,,20,60,20,,,,2.272727272727273
2000Sep,33,1.8,,,,,60,20,20,,,2.272727272727273
2000Sep,35,1.6,,5,10,25,45,10,5,,,3.4482758620689653
2000Sep,36,1.5,,,,40,50,10,,,,2.380952380952381
2000Sep,37,1.9,,,,,60,40,,,,1.9230769230769231
2000Sep,38,1.8,,,,5,90,5,,,,1.2269938650306749
2000Sep,39,1.6,,,,35,45,20,,,,2.73972602739726
2000Sep,40,1.3,,,5,60,25,10,,,,2.2988505747126435
2000Sep,41,1.6,,,,10,85,5,,,,1.3605442176870748
2000Sep,42,1.5,,,,20,70,10,,,,1.8518518518518519
2000Sep,46,.87,,11,56,31,2,,,,,2.3685457129322596
2000Sep,47,1.2,,,20,70,10,,,,,1.8518518518518519
2000Sep,49,1.3,,5,15,60,15,5,,,,2.4390243902439024
2000Sep,52,1.7,,,10,10,50,30,,,,2.7777777777777777
2000Sep,53,1.6,,,,10,70,20,,,,1.8518518518518519
2000Sep,54,1.6,,,10,40,40,10,,,,2.9411764705882355
2000Sep,55,1.7,.3003003,2.5025025,14.21421421,23.62362362,34.43443443,20.12012012,4.4044044,.4004004,,4.20772568132725
2000Sep,57,1.5,,,,15,85,,,,,1.342281879194631
2000Sep,59,1.7,,,,10,60,30,,,,2.1739130434782608
2000Sep,61,1.6,,,,20,60,20,,,,2.272727272727273
