TARGET_PERIOD,FCT_SOURCE,9,T0_0,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5,Volatility
2013Dec,52,1.6,0,0,0,0,1,27,63,7,1,1,0,0,2.105263157894737,,,,,,
2013Dec,57,1.6,,,,,,,,,,,,,1,,,,,,
2013Dec,63,1.7,,,,,8,20,45,20,5,2,,,3.427004797806717,,,,,,
2013Dec,72,1.6,,,,,,,,,,,,,1,,,,,,
2013Dec,85,1.5157201988,.0538402671,.3550366977,1.762106989,5.9850827707,13.9193027513,22.1739816147,24.201713016,18.0985324981,9.2720131105,3.2531263382,.7813042258,.1439597209,5.763849395612125,,,,,,
2013Dec,89,2.2,,,,2.5,2.5,5,25,30,25,10,,,4.371584699453552,,,,,,
2013Dec,91,.9,0,0,0,25,50,20,5,0,0,0,0,0,2.816901408450704,,,,,,
2013Dec,92,1.6,.204713621,.8157769513,2.8438559206,7.3621298917,14.1562704431,18.0399197487,21.6193323836,18.9405375208,9.2142754671,4.7490243153,1.5808878616,.4732758752,6.556717657312146,,,,,,
2013Dec,93,2.1,,,,,,5,15,72.5,7.5,,,,1.797752808988764,,,,,,
2013Dec,94,1.8,,,,7,12,16,24,18,10,8,5,,6.501950585175552,,,,,,
2013Dec,95,1.503,1,2,5,6,11.25,17.25,25.75,15,10.5,6.25,0,0,6.546644844517186,,,,,,
2013Dec,96,1.6,,,,5,10,25,35,20,5,,,,4.166666666666667,,,,,,
2013Dec,98,1.2,,,,5,10,40,30,10,5,,,,3.6363636363636362,,,,,,
2013Dec,99,1.6,,,,,,,,,,,,,1,,,,,,
2013Dec,103,1.8,,,,,5,25,35,20,10,5,,,4.166666666666667,,,,,,
2013Dec,104,1.8,0,0,0,0,0,20,35,25,15,5,0,0,4.0,,,,,,
2013Dec,105,1.5,,,,,5,25,50,15,5,,,,2.9411764705882355,,,,,,
2013Dec,106,1.4,,,,,,,,,,,,,1,,,,,,
2013Dec,107,1.6,.204713621,.8157769513,2.8438559206,7.3621298917,14.1562704431,18.0399197487,21.6193323836,18.9405375208,9.2142754671,4.7490243153,1.5808878616,.4732758752,6.556717657312146,,,,,,
2013Dec,108,1.7034,,,,,7.25,22.35,35.09,25.29,10.02,,,,3.9629423674047035,,,,,,
2013Dec,110,1.6,.0835620749,.3075912739,1.6020490411,5.3500023589,12.5277320392,20.5764816575,23.7101749206,19.1684968004,10.871615156,4.3247048978,1.2062165387,.271373241,5.953608162864009,,,,,,
2013Dec,112,2.2,,,,,,5,20,35,30,10,,,3.7735849056603774,,,,,,
2013Dec,113,1.6,,,,5,15,25,30,20,5,,,,4.545454545454546,,,,,,
""
TARGET_PERIOD,FCT_SOURCE,12,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility,,,,,,
2014Mar,1,1.9,,,,,5,10,40,30,10,5,,,3.6363636363636362,,,,,,
2014Mar,2,1.8,,,,,1,13,38,35,12,1,,,3.3512064343163535,,,,,,
2014Mar,4,1.4,,,5,10,15,25,25,15,5,,,,5.405405405405405,,,,,,
2014Mar,6,1.4,,,,,5,50,40,5,,,,,2.4096385542168677,,,,,,
2014Mar,7,1.4,,,,,,,,,,,,,1,,,,,,
2014Mar,8,1.7,,1,2,5,12,23,33,18,5,1,,,4.668534080298785,,,,,,
2014Mar,15,1.8,,,,,,25,45,25,5,,,,3.0303030303030303,,,,,,
2014Mar,16,1.1,1,2,2,8,16,21,16,13,10,7,3,1,7.385524372230429,,,,,,
2014Mar,20,1.3,,,5,15,25,35,20,,,,,,4.0,,,,,,
2014Mar,22,1.3,,,0,10,20,40,20,10,,,,,3.8461538461538463,,,,,,
2014Mar,23,1.5,,,,1,10,20,25,30,13,1,,,4.553734061930783,,,,,,
2014Mar,24,1.6,,,,7.5,12.5,25,27.5,17.5,7.5,2.5,,,5.095541401273885,,,,,,
2014Mar,26,2,,,,,,20,30,30,20,,,,3.8461538461538463,,,,,,
2014Mar,29,1.8,,,,,,10,60,30,,,,,2.1739130434782608,,,,,,
2014Mar,30,1.6,,,,,,,,,,,,,1,,,,,,
2014Mar,31,1.4,,,,,10,45,40,5,,,,,2.6666666666666665,,,,,,
2014Mar,37,1.6,,,,,,26,52,20,2,,,,2.6427061310782243,,,,,,
2014Mar,38,1.7,,,,,,20,60,20,,,,,2.272727272727273,,,,,,
2014Mar,39,1.7,,,,,,25,55,15,5,,,,2.5641025641025643,,,,,,
2014Mar,47,1.79,,,,,,,,,,,,,1,,,,,,
2014Mar,48,1.1,,,,,,,,,,,,,1,,,,,,
2014Mar,49,1.9,,,,,10,20,30,20,10,10,,,5.0,,,,,,
2014Mar,52,1.4,0,0,0,1,1,55,39,3,1,0,0,0,2.1939447125932423,,,,,,
2014Mar,54,1.5,,,,,15,20,30,20,15,,,,4.651162790697675,,,,,,
2014Mar,57,1.5,,,,,,,,,,,,,1,,,,,,
2014Mar,68,1.4,,,,,25,30,30,10,5,,,,3.9215686274509802,,,,,,
2014Mar,82,1.5,,,,,,,,,,,,,1,,,,,,
2014Mar,85,1.5,.0538402671,.3550366977,1.762106989,5.9850827707,13.9193027513,22.1739816147,24.201713016,18.0985324981,9.2720131105,3.2531263382,.7813042258,.1439597209,5.763849395612125,,,,,,
2014Mar,88,1.7,,,2.5,5,10,20,25,20,10,5,2.5,,5.925925925925926,,,,,,
2014Mar,89,1.9,,,,5,5,20,25,20,15,5,5,,5.714285714285714,,,,,,
2014Mar,92,1.2646303078,.620081678,1.9481120991,5.562275401,11.7954263045,18.5810522913,19.6018298925,19.4313911307,13.8320957882,5.4898984724,2.3467221959,.6398062624,.151308484,6.6281261345651545,,,,,,
2014Mar,93,1.9,,,,,,5,50,40,5,,,,2.4096385542168677,,,,,,
2014Mar,94,2.4,,,,,6,10,14,25,20,14,8,3,6.1500615006150054,,,,,,
2014Mar,95,1.428,1,2,5,6,8,20,31,18,9,0,0,0,5.274261603375528,,,,,,
2014Mar,96,1.4,,,,5,10,35,25,20,5,,,,4.166666666666667,,,,,,
2014Mar,98,1.2,,,,10,15,35,25,10,5,,,,4.3478260869565215,,,,,,
2014Mar,101,1.8,,,,,,10,80,10,,,,,1.5151515151515151,,,,,,
2014Mar,103,1.5,,,,2.5,10,30,35,17.5,5,,,,3.902439024390244,,,,,,
2014Mar,105,1.6,,,,,5,25,55,15,,,,,2.5641025641025643,,,,,,
2014Mar,106,1,,,,,,,,,,,,,1,,,,,,
2014Mar,107,1.2646303078,.620081678,1.9481120991,5.562275401,11.7954263045,18.5810522913,19.6018298925,19.4313911307,13.8320957882,5.4898984724,2.3467221959,.6398062624,.151308484,6.6281261345651545,,,,,,
2014Mar,108,1.5395324071,,,,2.19,13.41,25.59,31.38,19.9,7.46,.07,,,4.393975823993498,,,,,,
2014Mar,110,1.4,,1,3,8,16,23,22,16,8,3,,,5.980861244019139,,,,,,
2014Mar,112,1.7,,,,,10,20,40,20,10,,,,3.8461538461538463,,,,,,
""
TARGET_PERIOD,FCT_SOURCE,12,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility,,,,,,
2014Jun,4,1.5,,,5,10,15,24,26,15,5,,,,5.399568034557236,,,,,,
2014Jun,6,1.4,,,,,5,40,50,5,,,,,2.4096385542168677,,,,,,
2014Jun,8,1.7,,1,2,5,12,23,33,18,5,1,,,4.668534080298785,,,,,,
2014Jun,14,1.9,,,,,,,,,,,,,1,,,,,,
2014Jun,15,1.5,,,,,5,35,50,10,,,,,2.5974025974025974,,,,,,
2014Jun,16,1.2,1,2,2,8,16,21,16,13,10,7,3,1,7.385524372230429,,,,,,
2014Jun,22,1.3,,,0,10,20,40,20,10,,,,,3.8461538461538463,,,,,,
2014Jun,23,1.6,,,,1,10,20,30,25,13,1,,,4.553734061930783,,,,,,
2014Jun,24,1.6,,,,7.5,12.5,22.5,25,17.5,10,5,,,5.633802816901408,,,,,,
2014Jun,26,1.7,,,,,5,25,45,20,5,,,,3.225806451612903,,,,,,
2014Jun,29,1.8,,,,,,10,70,20,,,,,1.8518518518518519,,,,,,
2014Jun,36,2,,,,,10,10,30,30,15,5,,,4.444444444444445,,,,,,
2014Jun,37,1.6,,,,,3,46,48,3,,,,,2.2532672374943665,,,,,,
2014Jun,38,1.7,,,,,,10,80,10,,,,,1.5151515151515151,,,,,,
2014Jun,47,1.65,0,1,5,7,12,17,20,15,10,7,5,1,7.6452599388379205,,,,,,
2014Jun,49,1.5,0,1,2,5,15,25,26,19,5,2,0,0,5.138746145940391,,,,,,
2014Jun,52,1.1,0,0,1,5,29,43,17,4,1,0,0,0,3.309066843150232,,,,,,
2014Jun,54,1.5,,,,,20,20,30,20,10,,,,4.545454545454546,,,,,,
2014Jun,56,1.4,,,5,5,10,40,30,10,,,,,3.6363636363636362,,,,,,
2014Jun,57,1.4,,,,,,,,,,,,,1,,,,,,
2014Jun,68,1.6,,,,,15,25,35,20,5,,,,4.0,,,,,,
2014Jun,82,1.5,,,,,,,,,,,,,1,,,,,,
2014Jun,85,1.4552781482,.2261354588,.8934923685,3.0790050762,7.8505582433,14.813345882,20.6886926521,21.3882420651,16.3675168751,9.2710330095,3.8864467158,1.2055087544,.3300228992,6.462497343017241,,,,,,
2014Jun,88,1.7,,,,5,10,21,28,21,10,5,,,5.219206680584551,,,,,,
2014Jun,89,1.6,,,2.5,7.5,10,20,25,20,10,2.5,2.5,,5.882352941176471,,,,,,
2014Jun,91,1,0,0,0,20,35,40,5,0,0,0,0,0,3.076923076923077,,,,,,
2014Jun,92,1.4,.4024893614,1.3932255755,4.3117067256,9.9100418567,16.9192126381,19.2646780896,20.6155826666,15.9565867019,6.8764970119,3.1697960759,.936750411,.2434328858,6.60425258347677,,,,,,
2014Jun,93,1.6,,,,,,22.5,70,5,2.5,,,,1.839080459770115,,,,,,
2014Jun,94,2,,,,3,8,15,21,24,12,9,5,3,6.353240152477763,,,,,,
2014Jun,95,1.385,0,1,4,6,10,31,29,13,4,2,0,0,4.664179104477612,,,,,,
2014Jun,96,1.3,,,,5,10,35,25,20,5,,,,4.166666666666667,,,,,,
2014Jun,98,1.3,,,,5,18,40,20,15,2,,,,3.8789759503491075,,,,,,
2014Jun,99,1.5,,,,,,,,,,,,,1,,,,,,
2014Jun,101,1.5575223496,,,,,,15,70,15,,,,,1.8691588785046729,,,,,,
2014Jun,102,1.5,,,,,,49,51,,,,,,1.9992003198720512,,,,,,
2014Jun,103,1.5,,,,2.5,15,25,30,20,7.5,,,,4.519774011299435,,,,,,
2014Jun,107,1.4,.4024893614,1.3932255755,4.3117067256,9.9100418567,16.9192126381,19.2646780896,20.6155826666,15.9565867019,6.8764970119,3.1697960759,.936750411,.2434328858,6.60425258347677,,,,,,
2014Jun,108,1.61223,,,,.19,9.98,25.09,35.15,22.49,7.1,,,,3.9668731186112525,,,,,,
2014Jun,110,1.7,.0479656967,.1974571925,1.1397393709,4.2071901766,10.8007790262,19.2911558996,23.9776765629,20.7415929106,12.4863708246,5.2299388101,1.5235978771,.3565356522,5.886857762481537,,,,,,
2014Jun,112,1.6,,,,,10,20,40,20,10,,,,3.8461538461538463,,,,,,
2014Jun,113,1.6,,,,5,15,25,30,20,5,,,,4.545454545454546,,,,,,
""
TARGET_PERIOD,FCT_SOURCE,12,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility,,,,,,
2014Sep,1,1.5,,,,,5,20,70,5,,,,,1.8691588785046729,,,,,,
2014Sep,2,1.6,,,,2,12,34,38,12,2,,,,3.453038674033149,,,,,,
2014Sep,3,1.6,,,,,,,,,,,,,1,,,,,,
2014Sep,4,1.4,,,5,10,20,30,20,10,5,,,,5.128205128205129,,,,,,
2014Sep,5,1.2,,,5,10,25,25,20,10,5,,,,5.2631578947368425,,,,,,
2014Sep,6,1.6,,,,,5,40,50,5,,,,,2.4096385542168677,,,,,,
2014Sep,8,1.5,,,2,5,15,30,31,12,5,,,,4.378283712784588,,,,,,
2014Sep,14,1.7,,,,,,,,,,,,,1,,,,,,
2014Sep,15,1.5,,,,,5,35,50,10,,,,,2.5974025974025974,,,,,,
2014Sep,16,1.3,1,2,2,8,16,21,16,13,10,7,3,1,7.385524372230429,,,,,,
2014Sep,20,1.4,,,,10,25,35,25,5,,,,,3.8461538461538463,,,,,,
2014Sep,22,1.3,,,,10,15,50,20,5,,,,,3.076923076923077,,,,,,
2014Sep,23,1.4,,,,1,13,25,30,20,10,1,,,4.553734061930783,,,,,,
2014Sep,24,1.6,,,,8,12.5,22.5,25,17.5,10,4.5,,,5.624296962879639,,,,,,
2014Sep,26,1.8,,,,,5,20,45,25,5,,,,3.225806451612903,,,,,,
2014Sep,29,1.6,,,,,,40,50,10,,,,,2.380952380952381,,,,,,
2014Sep,31,1.7,,,,,5,10,40,30,10,5,,,3.6363636363636362,,,,,,
2014Sep,37,1.9,,,,,3,42,50,5,,,,,2.3266635644485807,,,,,,
2014Sep,38,1.5,,,,,,20,60,20,,,,,2.272727272727273,,,,,,
2014Sep,39,1.6,,,,,5,35,45,15,,,,,2.857142857142857,,,,,,
2014Sep,47,1.5,,,,,,,,,,,,,1,,,,,,
2014Sep,48,1.1,,,,,15,75,10,,,,,,1.680672268907563,,,,,,
2014Sep,52,1.2,0,0,1,9,23,32,23,9,2,1,0,0,4.444444444444445,,,,,,
2014Sep,54,1.5,,,,,15,20,30,20,15,,,,4.651162790697675,,,,,,
2014Sep,57,1.4,,,,,,,,,,,,,1,,,,,,
2014Sep,68,1.2,,,,,25,46,24,5,,,,,2.9922202274087373,,,,,,
2014Sep,82,1.2,,,,,,,,,,,,,1,,,,,,
2014Sep,85,1.4220135367,.015735755,.177750409,1.2906254976,5.7301262998,15.5771792072,25.9541995146,26.5189164041,16.6166453897,6.3819639164,1.5009667565,.2158830325,.0200078176,5.067920034751757,,,,,,
2014Sep,89,1.4,,,2.5,10,15,25,20,15,10,2.5,,,5.925925925925926,,,,,,
2014Sep,91,1.1,0,0,0,17.5,35,40,7.5,0,0,0,0,0,3.1372549019607843,,,,,,
2014Sep,92,1.2186278944,.7148539943,2.172366269,6.0350785711,12.452690689,19.0872932162,19.6197463473,18.9504551182,13.1116673293,5.0601456405,2.1083060311,.5592713964,.1281253976,6.633957376263762,,,,,,
2014Sep,93,1.8,,,,,,7.5,60,30,2.5,,,,2.191780821917808,,,,,,
2014Sep,94,2,,,,3,8,15,21,24,12,9,5,3,6.353240152477763,,,,,,
2014Sep,95,1.69,0,0,0,3,8,20,38,21,8,2,0,0,4.122011541632316,,,,,,
2014Sep,96,1.4,,,,5,10,35,25,20,5,,,,4.166666666666667,,,,,,
2014Sep,98,1.3,,,,5,18,40,20,15,2,,,,3.8789759503491075,,,,,,
2014Sep,99,1.5,,,,,,,,,,,,,1,,,,,,
2014Sep,101,1.5,,,,,,10,70,20,,,,,1.8518518518518519,,,,,,
2014Sep,103,1.7,,,,2.5,7.5,30,40,15,5,,,,3.5555555555555554,,,,,,
2014Sep,107,1.2186278944,.7148539943,2.172366269,6.0350785711,12.452690689,19.0872932162,19.6197463473,18.9504551182,13.1116673293,5.0601456405,2.1083060311,.5592713964,.1281253976,6.633957376263762,,,,,,
2014Sep,110,1.7,.0868056563,.2947016276,1.4583409117,4.7377889384,11.0926300719,18.7216815549,22.7811922028,19.9873851664,12.6434514112,5.7655941706,1.8949138292,.535514459,6.197052820229128,,,,,,
2014Sep,112,1.6,,,,,10,20,40,20,10,,,,3.8461538461538463,,,,,,
2014Sep,113,1.4,,,,5,15,30,25,20,5,,,,4.545454545454546,,,,,,
""
TARGET_PERIOD,FCT_SOURCE,12,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility,,,,,,
2014Dec,1,1.8,,,,,,5,45,45,5,,,,2.4390243902439024,,,,,,
2014Dec,4,1.2,,,5,10,25,30,15,10,5,,,,5.0,,,,,,
2014Dec,5,1.1,,,5,10,20,25,25,10,5,,,,5.2631578947368425,,,,,,
2014Dec,6,1.3,,,,,5,55,40,,,,,,2.150537634408602,,,,,,
2014Dec,8,1.4,,,3,8,16,35,25,10,3,,,,4.370629370629371,,,,,,
2014Dec,14,1.4,,,,,,,,,,,,,1,,,,,,
2014Dec,15,1.3,,,,5,15,55,15,10,,,,,2.7777777777777777,,,,,,
2014Dec,16,1.2,1,2,2,8,16,21,16,13,10,7,3,1,7.385524372230429,,,,,,
2014Dec,20,1.4,,,5,15,20,30,25,5,,,,,4.545454545454546,,,,,,
2014Dec,22,1.1,,,,10,30,40,20,,,,,,3.3333333333333335,,,,,,
2014Dec,23,1.2,,,1,10,23,30,20,10,5,1,,,4.863813229571984,,,,,,
2014Dec,24,1.1,,,8,12.5,22.5,25,17.5,10,4.5,,,,5.624296962879639,,,,,,
2014Dec,26,1.5,,,,5,20,25,30,15,5,,,,4.545454545454546,,,,,,
2014Dec,30,1.5,,,,,4,43,53,,,,,,2.139495079161318,,,,,,
2014Dec,31,1.5,,,,5,15,30,35,10,5,,,,4.0,,,,,,
2014Dec,37,1.2,,,,2,41,44,13,,,,,,2.638522427440634,,,,,,
2014Dec,38,1.3,,,,,10,60,30,,,,,,2.1739130434782608,,,,,,
2014Dec,39,1.7,,,,5,15,30,40,10,,,,,3.508771929824561,,,,,,
2014Dec,42,1.5,,,,,5,30,45,20,,,,,2.985074626865672,,,,,,
2014Dec,47,1.4,,,,,,,,,,,,,1,,,,,,
2014Dec,48,1.2,,,,10,10,80,,,,,,,1.5151515151515151,,,,,,
2014Dec,52,1.27,0,0,1,7,21,31,25,10,3,1,1,0,4.570383912248628,,,,,,
2014Dec,57,1.3,,,,,,,,,,,,,1,,,,,,
2014Dec,68,1.1,,,,8,30,40,22,0,0,,,,3.2808398950131235,,,,,,
2014Dec,82,1.3,,,,,,,,,,,,,1,,,,,,
2014Dec,85,1.1787171063,.8227826873,2.2352392094,5.8568135787,11.704458814,17.8420456315,20.7478471783,18.4055168418,12.4554792743,6.4295545012,2.5313991145,.7600345706,.2088285985,6.81174748512826,,,,,,
2014Dec,88,1.5,,,,5,12,23,25,20,10,5,,,5.411255411255411,,,,,,
2014Dec,89,1.4,,,2.5,10,15,25,20,15,10,2.5,,,5.925925925925926,,,,,,
2014Dec,91,1.2,0,0,0,5,35,52.5,7.5,0,0,0,0,0,2.4615384615384617,,,,,,
2014Dec,92,1.1358974824,.9177841852,2.6258995782,6.944636583,13.6415838311,19.9062745108,19.5274253362,18.0009977348,11.8343749662,4.3424388348,1.7278439718,.4363087906,.0944316773,6.641127453633539,,,,,,
2014Dec,93,1.7,,,,,,15,65,20,,,,,2.0618556701030926,,,,,,
2014Dec,94,1.6,,1,4,7,10,18,26,22,8,3,1,,5.800464037122969,,,,,,
2014Dec,95,1.42,0,0,0,2,23,31,23,16,4,1,0,0,4.355400696864112,,,,,,
2014Dec,96,1.3,,,,5,15,35,25,15,5,,,,4.25531914893617,,,,,,
2014Dec,98,1.5,,,,5,15,37,23,15,5,,,,4.170141784820684,,,,,,
2014Dec,99,1.4,,,,,,,,,,,,,1,,,,,,
2014Dec,101,1.3,,,,,20,70,10,,,,,,1.8518518518518519,,,,,,
2014Dec,102,1.4,,,,,15,40,35,10,,,,,3.1746031746031744,,,,,,
2014Dec,103,1.6,,,,5,15,30,35,10,5,,,,4.0,,,,,,
2014Dec,105,1.5,,,,,5,15,55,20,5,,,,2.7027027027027026,,,,,,
2014Dec,107,1.1358974824,.9177841852,2.6258995782,6.944636583,13.6415838311,19.9062745108,19.5274253362,18.0009977348,11.8343749662,4.3424388348,1.7278439718,.4363087906,.0944316773,6.641127453633539,,,,,,
2014Dec,108,1.4023,,,,2.54,16.32,31.44,31.43,16.02,2.25,,,,3.9827699001686865,,,,,,
2014Dec,110,1.1,.556292972,1.4369094179,5.3500023589,12.5277320392,20.5764816575,23.7101749207,19.1684968004,10.871615156,4.3247048978,1.2062165387,.2357790536,.0355941873,5.954709906094959,,,,,,
2014Dec,112,1.5,,,,5,10,30,35,15,5,,,,4.0,,,,,,
2014Dec,113,1,,,,10,20,30,20,15,5,,,,4.878048780487805,,,,,,
""
TARGET_PERIOD,FCT_SOURCE,12,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility,,,,,,
2015Mar,1,1.3,,,,5,25,60,10,,,,,,2.2988505747126435,,,,,,
2015Mar,2,.9,,,,10,42,31,13,4,,,,,3.3222591362126246,,,,,,
2015Mar,3,.6,2.5,5,15,17.5,25,15,12.5,2.5,2.5,2.5,,,6.299212598425197,,,,,,
2015Mar,4,1.4,,,5,10,25,30,15,10,5,,,,5.0,,,,,,
2015Mar,5,1,,1,10,20,25,15,15,8,5,1,,,6.002400960384153,,,,,,
2015Mar,6,1.4,,,,,,70,30,,,,,,1.7241379310344827,,,,,,
2015Mar,14,1.4,,,,,,,,,,,,,1,,,,,,
2015Mar,15,1.4,,,,5,10,40,30,15,,,,,3.508771929824561,,,,,,
2015Mar,16,1.1,1,2,3,11,17,21,15,11,8,7,3,1,7.496251874062969,,,,,,
2015Mar,20,1.2,,,,10,25,40,25,,,,,,3.389830508474576,,,,,,
2015Mar,22,1.1,,,,10,30,40,20,,,,,,3.3333333333333335,,,,,,
2015Mar,23,1.2,,,1,10,23,30,20,10,5,1,,,4.863813229571984,,,,,,
2015Mar,24,1.2,0,0,6,13,20,25,20,10,6,0,0,0,5.662514156285391,,,,,,
2015Mar,26,1.5,,,,5,15,30,30,15,5,,,,4.3478260869565215,,,,,,
2015Mar,30,1.5,,,,,5,40,55,,,,,,2.150537634408602,,,,,,
2015Mar,31,1,,,,5,30,40,20,5,,,,,3.389830508474576,,,,,,
2015Mar,37,1,,,,3,45,46,6,,,,,,2.388915432393693,,,,,,
2015Mar,38,1.4,,,,,10,60,30,,,,,,2.1739130434782608,,,,,,
2015Mar,39,1.4,,,,10,37,33,20,,,,,,3.380662609871535,,,,,,
2015Mar,47,1.3,,,,,,,,,,,,,1,,,,,,
2015Mar,48,1.1,,,,,30,45,25,,,,,,2.816901408450704,,,,,,
2015Mar,52,1.1,0,0,1,6,29,44,17,1,1,1,0,0,3.2195750160978744,,,,,,
2015Mar,56,1.3,,,0,5,20,40,30,5,,,,,3.389830508474576,,,,,,
2015Mar,57,1.2,,,,,,,,,,,,,1,,,,,,
2015Mar,59,1.3,,,,10,15,70,5,,,,,,1.9047619047619047,,,,,,
2015Mar,63,1.4,,,,10,15,30,35,10,,,,,3.9215686274509802,,,,,,
2015Mar,68,1.2,,,,6,28,36,30,0,0,,,,3.315649867374005,,,,,,
2015Mar,82,1,,,,,,,,,,,,,1,,,,,,
2015Mar,85,1.2764141124,1.1810093991,2.5153716194,5.798693523,10.6998177131,15.8039540619,18.685918835,17.6859946525,13.4001156183,8.1271833217,3.9455128511,1.5330972289,.6233311759,7.510462273048114,,,,,,
2015Mar,88,1.2,,,5,12,23,25,20,10,5,,,,5.411255411255411,,,,,,
2015Mar,89,1.4,,,2.5,10,15,25,20,15,10,2.5,,,5.925925925925926,,,,,,
2015Mar,91,1,0,0,0,10,42.5,45,2.5,0,0,0,0,0,2.5396825396825395,,,,,,
2015Mar,92,1.2279301286,.1163618547,.7934837906,3.7552682907,11.3248000999,21.780529346,24.1543452364,21.8897260349,12.0798412056,3.1759575035,.8101879901,.1095490091,.0099496385,5.444671711787672,,,,,,
2015Mar,93,2,,,,,,5,40,50,5,,,,2.4096385542168677,,,,,,
2015Mar,94,1.7,,1,3,6,10,16,26,22,10,5,1,,5.924170616113744,,,,,,
2015Mar,95,1.075,0,0,1,15,27,31,18,7,1,0,0,0,4.366812227074236,,,,,,
2015Mar,96,1.2,,,5,10,20,35,25,5,,,,,4.166666666666667,,,,,,
2015Mar,98,1.3,,,5,10,15,30,25,15,,,,,4.761904761904762,,,,,,
2015Mar,101,1.2,,,,10,30,50,10,,,,,,2.7777777777777777,,,,,,
2015Mar,102,1.4,,,,,15,40,35,10,,,,,3.1746031746031744,,,,,,
2015Mar,103,1.6,,,2.5,10,20,25,30,10,2.5,,,,4.678362573099415,,,,,,
2015Mar,105,1.3,,,,,25,50,25,,,,,,2.6666666666666665,,,,,,
2015Mar,107,1.2279301286,.1163618547,.7934837906,3.7552682907,11.3248000999,21.780529346,24.1543452364,21.8897260349,12.0798412056,3.1759575035,.8101879901,.1095490091,.0099496385,5.444671711787672,,,,,,
2015Mar,110,1,.104574633,.5871381863,3.8376532768,13.2689898906,26.0881960884,29.198410474,18.6065322168,6.7458932913,1.3893165027,.1621840216,.0107045518,.0004068667,4.7215306653175295,,,,,,
2015Mar,112,1,,,,5,10,35,30,15,5,,,,4.0,,,,,,
""
TARGET_PERIOD,FCT_SOURCE,12,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,Volatility,,,,,,
2015Jun,4,1.4,,,5,10,25,30,15,10,5,,,,5.0,,,,,,
2015Jun,6,1.4,,,,,15,60,25,,,,,,2.247191011235955,,,,,,
2015Jun,7,1,,,,,,,,,,,,,1,,,,,,
2015Jun,14,1.2,,,,,,,,,,,,,1,,,,,,
2015Jun,15,1.3,,,,5,15,40,30,10,,,,,3.508771929824561,,,,,,
2015Jun,16,.8,1,3,10,14,19,17,11,9,7,6,2,1,8.012820512820515,,,,,,
2015Jun,20,1,,,,10,25,40,25,,,,,,3.389830508474576,,,,,,
2015Jun,22,1,,,,10,35,40,10,5,,,,,3.278688524590164,,,,,,
2015Jun,23,1.2,,,1,10,23,30,20,10,5,1,,,4.863813229571984,,,,,,
2015Jun,24,1.2,,,6,13,20,25,20,10,6,,,,5.662514156285391,,,,,,
2015Jun,26,.9,,,5,15,30,30,15,5,,,,,4.3478260869565215,,,,,,
2015Jun,29,.8,,,,10,50,40,,,,,,,2.380952380952381,,,,,,
2015Jun,30,1.2,,,,,30,70,,,,,,,1.7241379310344827,,,,,,
2015Jun,36,.9,,,,20,40,30,10,,,,,,3.3333333333333335,,,,,,
2015Jun,37,1.4,,,,2,22,46,30,,,,,,2.853881278538813,,,,,,
2015Jun,38,1.2,,,,,20,60,20,,,,,,2.272727272727273,,,,,,
2015Jun,39,1.3,,,,5,30,40,25,,,,,,3.1746031746031744,,,,,,
2015Jun,42,1,,,,5,35,45,15,,,,,,2.857142857142857,,,,,,
2015Jun,47,1.3,,,,,,,,,,,,,1,,,,,,
2015Jun,48,1.1,,,,,30,45,25,,,,,,2.816901408450704,,,,,,
2015Jun,52,1.1,0,0,1,5,29,41,19,3,1,1,0,0,3.4246575342465753,,,,,,
2015Jun,57,1.2,,,,,,,,,,,,,1,,,,,,
2015Jun,59,1.3,,,,10,25,55,10,,,,,,2.5974025974025974,,,,,,
2015Jun,63,1.3,,,,10,15,35,30,10,,,,,3.9215686274509802,,,,,,
2015Jun,68,1.1,,,,6,28,36,30,0,0,,,,3.315649867374005,,,,,,
2015Jun,72,1.8,,,,,,,,,,,,,1,,,,,,
2015Jun,82,.5,,,,,,,,,,,,,1,,,,,,
