,x
406,-0.000121089
407,0.00197883
408,0.005415238
409,-0.00281588
410,-0.002090162
411,0.00041407
412,0.00237758
413,0.001955539
414,0.002384446
415,0.000376874
416,0.000535088
417,0.00184279
418,0.002640679
419,0.002421242
420,0.001100173
421,0.002039973
422,0.00186245
423,0.001901197
424,0.00132026
425,0.001124852
426,-0.000160014
427,7.16E-05
428,-0.000197933
429,-0.001884435
430,-0.003089377
431,-0.006390693
432,0.002531437
433,0.00269033
434,0.001041936
435,0.00329232
436,0.002764097
437,0.001585063
438,-4.20E-06
439,-0.002250117
440,0.000988993
441,0.001193905
442,-0.001076132
443,-0.000458549
444,-0.00133056
445,0.003129893
446,0.003823327
447,0.002361306
448,0.002772111
449,-0.000503828
450,0.001847514
451,0.002619775
452,0.002339948
453,0.001178253
454,0.002521341
455,0.004034925
456,0.00159139
457,-0.000467311
458,0.001233392
459,-0.000774278
460,0.000651416
461,0.000327596
462,0.003841239
463,0.005093397
464,0.000774752
465,0.002664455
466,0.002104673
467,0.004244324
468,0.00268867
469,0.000192344
470,0.002601021
471,0.002255404
472,0.000900739
473,0.000780516
474,0.001785725
475,0.002060158
476,0.002336848
477,-0.00070444
478,0.000684659
479,-0.000815312
480,0.00299676
481,0.00377466
482,0.003752629
483,0.000246803
484,-0.000325166
485,0.002305217
486,0.000914352
487,0.001537663
488,0.002823293
489,0.002811467
490,0.002907986
491,0.001066593
492,0.001312356
493,-0.004236607
494,-0.0078713
495,-0.001085993
496,0.004508131
497,0.005448082
498,0.00370046
499,0.00225296
500,0.001145713
501,0.002479162
502,0.00424556
503,0.001956064
504,0.004048658
505,0.005021837
506,0.006929242
507,0.006352739
508,0.008206072
509,0.004901808
510,0.002918595
511,0.00401701
512,0.009256482
513,0.008518998
514,0.00718007
515,0.005617932
516,0.007567175
517,0.010550922
518,0.004202554
519,0.008946438
520,0.012405613
521,-6.44E-05
522,0.000786193
523,0.003827238
524,0.005122831
525,0.002631973
526,0.000548991
527,0.005153825
528,0.003831429
529,0.000779109
530,0.004259435
531,0.001098291
532,0.002100869
533,0.00205379
534,0.005104666
535,0.003589392
536,0.000790477
537,0.001601807
538,0.002328275
539,0.003049675
540,0.004410879
541,0.003773565
542,0.003124218
543,5.75E-05
544,-0.000562054
545,0.001548079
546,0.001870455
