,x
147,0.009979418
148,0.008036902
149,0.00273705
150,0.000142569
151,0.008195855
152,-0.001046551
153,-0.001326239
154,-0.004574835
155,-0.005251119
156,0.007080981
157,0.008380591
158,0.007651589
159,0.003282913
160,0.000563785
161,0.009021537
162,-0.005579214
163,0.00320092
164,0.00680874
165,0.003819756
166,0.001509843
167,0.003932599
168,0.004827873
169,-0.000978512
170,0.002765099
171,-0.003722965
172,0.002265928
173,0.00256186
174,-0.001107899
175,0.00510364
176,0.007438434
177,0.004644316
178,0.005778982
179,0.003090492
180,0.000640906
181,0.00995746
182,0.005915441
183,0.004649506
184,0.006694366
185,0.001262223
186,0.006619809
187,0.002962875
188,0.008096141
189,0.006712926
190,0.009868959
191,0.001913046
192,-0.001231402
193,0.001457298
194,-0.00176644
195,0.004849522
196,0.003253457
197,-0.004181164
198,0.013058082
199,0.003888947
200,-0.001662673
201,0.002525292
202,0.003388233
203,-0.005395279
204,0.014358087
205,-0.001449012
206,0.009948432
207,0.00758205
208,0.007436107
209,1.59E-05
210,0.005053955
211,0.006244021
212,-0.000190231
213,0.008903287
214,0.006221398
215,0.001759951
216,0.011697015
217,0.00628175
218,0.000824549
219,0.005615666
220,0.004616068
221,0.008355029
222,0.01008855
223,0.009187207
224,0.008894568
225,0.007959482
226,0.00427006
227,0.004434914
228,0.001783181
229,0.000419808
230,0.003454934
231,0.006510423
232,-0.005955244
233,-0.003980472
234,0.020386081
235,-0.000921644
236,0.006821844
237,-0.000918531
238,0.004037543
239,0.004124499
240,0.005778926
241,0.002123681
242,0.002223603
243,0.006111251
244,-0.000654485
245,0.005846946
246,0.004377129
247,-0.004145981
248,0.012714683
249,0.005324177
250,0.007963552
251,-0.000756749
252,0.003443389
253,0.003900825
254,0.006310207
255,0.002896544
256,0.000721752
257,-0.001770349
258,-0.002656554
259,0.00422151
260,-0.003692441
261,0.000220183
262,-0.003402053
263,-0.004938228
264,-0.00661334
265,-0.002485419
266,-0.003521516
267,-0.005278492
268,-0.005327664
269,-0.006098905
270,-0.00087672
271,-0.005421988
272,-0.003047213
273,-0.00588914
274,-0.000389216
275,0.006937603
276,-6.33E-05
277,0.007531107
278,0.004748236
279,0.004280018
280,0.008181282
281,-0.000330912
282,-0.001027627
283,0.000958122
284,-0.002634835
285,0.005470701
286,-0.005561414
287,0.008222492
288,0.0012457
289,-0.002742372
290,-0.006277865
291,-0.000343967
292,0.001322134
293,0.005149138
294,-0.002130046
295,0.006461934
296,0.001345095
297,0.00677011
298,0.000506783
299,0.001665041
300,0.006183807
301,-0.00391186
302,0.003870955
303,0.007387413
304,-0.007716869
305,0.007350288
306,0.000853722
307,0.00112294
308,0.008860161
309,0.002450218
310,0.007775476
311,0.003521057
312,0.007195689
313,-0.001413432
314,0.002073869
315,0.000935044
316,0.004365743
317,-0.003181643
318,0.003285602
319,-0.019560495
320,0.012150318
321,0.010936329
322,0.004815998
323,0.001577772
324,0.000424869
325,0.002264958
326,0.002956254
327,0.000251279
328,0.003361871
329,-0.000653486
330,0.004331093
331,-0.001813429
332,-0.001025473
333,-0.00026839
334,0.010202449
335,-0.003581384
336,0.009597462
337,0.001771722
338,0.006688506
339,0.000537404
340,0.000273512
341,-0.001569284
342,0.001958762
343,0.002440617
344,-0.002929456
345,0.005612654
346,0.000583883
347,-0.001243484
348,-0.003665079
349,-0.003196438
350,-0.006878154
351,-0.006190503
352,-0.002607918
353,-0.004550111
354,-0.01592077
355,-0.044849207
356,0.010006672
357,-0.013174442
358,-0.028661752
359,-0.025201643
360,-0.005994995
361,-0.015766318
362,-0.007878865
363,-0.00991844
364,-0.003171832
365,0.011865608
366,0.011072241
367,0.008536933
368,0.002272481
369,0.00407818
370,0.00342379
371,0.010700654
372,0.003524459
373,0.007025183
374,0.003600299
375,0.013622144
376,0.002199291
