"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46"
"25",8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251,8.900251
"26",8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053,8.611053
"27",8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463,8.375463
"28",8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725,8.150725
"29",7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992,7.902992
"30",7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918,7.650918
"31",7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592,7.581592
"32",7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177,7.448177
"33",7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234,7.376234
"34",7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613,7.519613
